participant,rt,accuracy,congruency_num,spacing_num,n_trial_experiment
1430,0.371,0,1,1,15
1430,0.365,1,1,1,17
1430,0.5,1,1,1,18
1430,0.387,1,1,1,19
1430,0.355,1,0,1,20
1430,0.408,1,0,1,21
1430,0.408,1,0,1,22
1430,0.367,1,0,1,24
1430,0.618,1,1,1,25
1430,0.441,0,1,1,30
1430,0.436,1,0,1,31
1430,0.438,1,0,1,35
1430,0.58,1,0,1,36
1430,0.437,1,0,1,40
1430,0.384,1,1,1,41
1430,0.634,1,0,1,42
1430,0.338,1,0,1,45
1430,0.356,1,0,1,48
1430,0.351,1,1,1,49
1430,0.619,1,1,1,50
1430,0.496,1,1,1,51
1430,0.464,1,0,1,52
1430,0.31,0,1,1,55
1430,0.378,1,1,1,56
1430,0.5,1,1,1,57
1430,0.488,1,0,1,58
1430,0.588,1,1,1,59
1430,0.598,1,1,1,62
1430,0.482,1,1,1,63
1430,0.372,1,0,1,65
1430,0.571,1,0,1,69
1430,0.474,1,1,1,72
1430,0.472,1,1,1,73
1430,0.588,1,1,1,74
1430,0.43,1,0,1,75
1430,0.413,1,0,1,76
1430,0.357,1,0,1,77
1430,0.566,1,0,1,79
1430,0.437,1,1,1,80
1430,0.384,1,1,1,81
1430,0.39,0,1,1,82
1430,0.402,1,0,1,84
1430,0.406,1,0,1,86
1430,0.571,1,1,1,87
1430,0.524,1,1,1,88
1430,0.399,0,1,1,89
1430,0.372,1,0,1,90
1430,0.57,1,1,1,92
1430,0.328,1,0,1,93
1430,0.336,1,1,1,94
1430,0.26,0,0,1,96
1430,0.347,1,0,1,98
1430,0.586,1,1,1,99
1430,0.4,1,1,1,100
1430,0.535,1,0,1,101
1430,0.418,1,1,1,105
1430,0.503,1,1,1,108
1430,0.37,1,0,1,110
1430,0.402,1,0,1,111
1430,0.343,0,1,1,113
1430,0.65,0,1,1,114
1430,0.647,1,0,1,115
1430,0.585,1,1,1,116
1430,0.407,1,0,1,117
1430,0.475,1,0,1,118
1430,0.383,1,0,1,119
1430,0.43,1,0,1,120
1430,0.32,1,0,1,122
1430,0.516,1,1,1,123
1430,0.538,1,1,1,124
1430,0.344,0,1,1,125
1430,0.349,1,1,1,126
1430,0.647,0,1,1,1
1430,0.478,1,1,1,4
1430,0.552,1,1,1,6
1430,0.481,1,1,1,8
1430,0.488,1,1,1,9
1430,0.386,1,0,1,10
1430,0.407,1,1,1,11
